Region,Year,Mortality_pct,Z_Cancer_pct,Z_Infant_mortality_pct,Z_Circulatory_pct,Z_Disability_pct,Z_Unemployment_pct,PC1,PC2
Karaganda,2023,0.944085367734204,1.1363838959651311,-1.029073010359421,0.7917535048183704,1.761507328075821,-2.6103766365065613,-3.007505313096267,1.7667107657194756
Karaganda,2024,0.9351293124328952,1.4447196824382977,-0.9636827082727724,1.2353193864284782,1.7458104505965475,-2.6103766365065613,-3.317717183536329,1.5460850360892773
Pavlodar,2011,1.0969896438602886,-1.078369497116522,1.8057889095146957,-1.5505535522864835,-1.4034910118994026,1.6447499529014913,3.164060943635321,-1.0458749003129946
Pavlodar,2012,1.083291954810638,0.3129017345306954,0.14410593884221504,-1.4506722878250093,-0.6752020641478285,1.2901560704508215,1.382151631501388,-0.8351403568941916
Pavlodar,2013,1.012812316054036,0.32794250460255764,0.0056323579528415055,-1.4987017144961674,-0.5457028249438248,0.5809683055494789,0.920231612995435,-0.4863552890690995
Pavlodar,2014,1.0025049341624674,0.3918657774079696,-0.14053419965260833,-1.4317264240170091,-0.952898293670854,-0.12821945935186366,0.4223496435344996,-0.6284415037376611
Pavlodar,2015,0.97553166012387,0.15121345625818197,-0.6790425697779494,-0.886783551855322,-1.0219183872929525,0.2263744230988092,0.20498686953501496,-0.8001697517022139
Pavlodar,2016,0.9692931924059508,0.6550792536655516,-0.27900778054198144,-0.6409858977146893,-1.1241789273417466,-0.12821945935186366,-0.12080333123714014,-1.0235800445414631
Pavlodar,2017,0.9577101612387616,0.8882111897794113,-0.40209540799920235,-0.21121393449110828,-1.2167443371827555,-0.12821945935186366,-0.48114149102690623,-1.2716673173980069
Pavlodar,2018,0.9717110858523637,0.13993287870428475,-1.21755093990329,0.18781254799142,-1.1264872916769337,-0.12821945935186366,-0.7549371106048456,-0.9602204447627738
Pavlodar,2019,0.9764503159103964,1.2792712116478173,-0.7675118020128265,0.5522711386137377,-1.0999411018222809,-0.4828133418025334,-1.4068747487901403,-1.347204764246103
Pavlodar,2020,1.1551925165753971,-0.8001152507870798,-1.190625521397023,0.8778408508933182,-1.110559577764142,-0.12821945935186366,-0.6397005803435311,-0.7152269942214007
Pavlodar,2021,1.3669555213498588,0.9182927299231337,-0.7828977554449791,1.1434153277808987,-1.1107904141976612,-0.12821945935186366,-1.3280244671386083,-1.446272867393398
Pavlodar,2022,0.9935083561243656,1.2191081313603704,-0.5405689888885759,0.29567101826678927,-1.0443095213442688,-0.12821945935186366,-0.9506876150379912,-1.3501837938488401
Pavlodar,2023,0.9182138012885724,1.264230441575955,-0.494411128592118,0.15191512182889377,-0.8243224002009241,-0.12821945935186366,-0.8983466997978704,-1.1568030275034618
Pavlodar,2024,0.9543288329334304,1.0273383129441325,-0.3636305244188208,0.5170384796023693,-0.6800496292517216,-0.4828133418025334,-1.1039561998043355,-0.9012362032137559
